# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
SB42  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB43  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB44  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB45  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB46  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB47  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB48  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB49  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB51  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB53  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB54  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB55  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB56  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB57  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB58  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB59  SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SW1   SW_MECA_1K2 09.03290.01   SWI_EAO_09-03290-0  Switch slide
SW2   SW_MECA_1K2 09.03290.01   SWI_EAO_09-03290-0  Switch slide
TP1   Test Point N/A            TP_SMD_2MM          Test Point
TP2   Test Point N/A            TP_SMD_1MM          Test Point
TP3   Test Point N/A            TP_SMD_2MM          Test Point
TP4   Test Point N/A            TP_SMD_2MM          Test Point
TP5   Test Point N/A            TP_SMD_2MM          Test Point
TP6   Test Point N/A            TP_SMD_1MM          Test Point
TP7   Test Point N/A            TP_SMD_1MM          Test Point
TP8   Test Point N/A            TP_SMD_1MM          Test Point
TP9   Test Point N/A            TP_SMD_1MM          Test Point
TP10  Test Point N/A            TP_SMD_2MM          Test Point
TP11  Test Point N/A            TP_SMD_2MM          Test Point
TP12  Test Point N/A            TP_SMD_2MM          Test Point
TP13  Test Point N/A            TP_SMD_2MM          Test Point
TP14  Test Point N/A            TP_SMD_2MM          Test Point
TP15  Test Point N/A            TP_SMD_2MM          Test Point
TP16  Test Point N/A            TP_SMD_2MM          Test Point
TP17  Test Point N/A            TP_SMD_2MM          Test Point
TP18  Test Point N/A            TP_SMD_1MM          Test Point
TP19  Test Point N/A            TP_SMD_1MM          Test Point
TP20  Test Point N/A            TP_SMD_1MM          Test Point
TP21  Test Point N/A            TP_SMD_2MM          Test Point
TP22  Test Point N/A            TP_SMD_2MM          Test Point
TP23  Test Point N/A            TP_SMD_1MM          Test Point
TP24  Test Point N/A            TP_SMD_1MM          Test Point
TP25  Test Point N/A            TP_SMD_1MM          Test Point
U1    ST1S31PUR                 ICC_VFDFPN8-EPAD_3  Regulator
U2    TPS62088YFP               ICC_DSBGA6_YFP_0P8  IC
U3    HSP051-4M10               ESD_UQFN-10L_2P5X1  Diode
U4    HSP051-4M10               ESD_UQFN-10L_2P5X1  Diode
U5    LD39020ADTPU33R           REG_XDFN4-EPAD_CAS  LDO
U6    TSZ122IST                 ICC_MINISO8_3X3_P0  Operational Amplifier
U7    TSZ122IST                 ICC_MINISO8_3X3_P0  Operational Amplifier
U8    TSZ122IST                 ICC_MINISO8_3X3_P0  Operational Amplifier
U9    ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U10   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U12   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U13   MP23DB01MMTR MP23DB01HPT  MIC_STM_MP23DB01MM  MEMS
U14   NX3L1T3157GMZ             ICC_SOT886_XSON6    Analog Switch
U15   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U16   ESD-TRANSIL ESDA25P35-1U  ESD_QFN1610_2N_1K_  Diode
U17   STLINK-V3EC STM32F723IEK  ICC_UFBGA201_176+2  MCU
U18   STMPS2151STR              MOS_SOT23-5L        IC
U19   ST730M33R                 ICC_SOT23-5L_H1P45  LDO
U20   TPS259535DSG              ICC_WSON8-EPAD_2X2  IC
U21   LD1117S50TR               REG_SOT223-TAB      LDO
U22   ST1S31PUR                 ICC_VFDFPN8-EPAD_3  Regulator
U23   ESDALC6V1W5               ESD_SOT323-5L       Diode
U24   ESDALC6V1W5               ESD_SOT323-5L       Diode
U25   MX66UW1G45GXDI00          ICC_BGA24_5X5-BALL  Memory
U26   APS256XXN-OBR-BG          ICC_BGA24_5X5-BALL  Memory
U27   STM32N657X0H3Q            ICC_VFBGA264_14X14  Neural MCU
U28   TPS22919DCKR              ICC_SC70-6_DCK_R-P  IC
U29   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U30   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U31   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U32   NX3L1T3157GMZ             ICC_SOT886_XSON6    Analog Switch
U33   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U34   WM8904CGEFL/RV            ICC_QFN32-EPAD_4X4  Audio Codec
U35   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U36   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U37   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U38   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U39   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U40   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U41   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U42   ESDA6V1BC6                ESD_SOT23-6L        Diode
U43   LD39020ADTPU18R           REG_XDFN4-EPAD_CAS  LDO
U44   RTL8211F-CG               ICC_QFN40-EPAD_5X5  ETHERNET Transceiver
U45   LD56100DPU18R             ICC_DFN8-EPAD_1P6X  LDO
U46   TCPP03-M20                ICC_QFN20-EPAD_4X4  IC
U47   STMPS2151STR              MOS_SOT23-5L        IC
U48   ​Footprint needed DFN105  ESD_QFN1610_2N_1K_  Diode
U49   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U50   ESD-TRANSIL ESDA25P35-1U  ESD_QFN1610_2N_1K_  Diode
U51   ECMF2-40A100N6            ESD_UQFN-6L_1P45X1  IC
U52   ESDALC6V1W5               ESD_SOT323-5L       Diode
U53   ESD-TRANSIL ESDALC6V1-1U  ESD_ST0201          Diode
U54   LD1117S33TR               REG_SOT223-TAB      LDO
X1    XTAL_4_PINS 24MHz         CRY_NX2016SA_4P     Crystal
X2    XTAL_4_PINS 48MHz         CRY_NX1612SA_4P     Crystal
X3    XTAL_2_PINS 32.768KHz     CRY_NX2012SA_2P     Crystal
X4    XTAL_4_PINS 25MHz         CRY_NX3225HA_4P     Crystal

== NETS ==
GND: B1.3 B1.4 C1.1 C2.1 C3.1 C4.1 C5.1 C6.1 C7.1 C8.1 C9.1 C10.1 C11.1 C12.1 C13.1 C14.1 C15.1 C16.1 C17.1 C18.1 C19.2 C20.1 C21.1 C22.1 C24.1 C25.1 C26.1 C28.1 C29.1 C31.1 C32.1 C33.2 C34.1 C35.1 C36.1 C37.1 C38.1 C39.1 C40.1 C41.1 C42.1 C43.2 C44.1 C45.1 C46.1 C47.1 C48.1 C49.1 C50.1 C51.1 C52.1 C54.1 C55.1 C56.1 C57.1 C58.1 C59.1 C60.1 C61.1 C62.1 C63.1 C64.1 C65.1 C66.1 C67.1 C68.1 C69.1 C70.1 C71.1 C72.1 C73.1 C74.1 C75.1 C76.1 C77.1 C78.1 C79.1 C80.1 C81.2 C84.1 C85.2 C86.1 C87.1 C88.1 C89.1 C90.1 C91.1 C92.1 C94.1 C95.1 C96.2 C97.2 C98.2 C99.2 C100.2 C101.2 C102.2 C103.2 C104.2 C105.2 C106.2 C107.2 C108.2 C109.2 C110.2 C111.2 C112.2 C113.2 C114.2 C115.1 C116.1 C117.1 C118.1 C119.1 C120.2 C121.1 C122.1 C123.1 C124.1 C125.1 C126.1 C127.2 C128.1 C129.1 C130.1 C131.1 C132.1 C133.1 C134.1 C135.1 C136.1 C137.1 C138.1 C139.1 C140.2 C141.1 C142.1 C143.1 C144.1 C145.1 C146.1 C147.1 C148.1 C149.1 C150.1 C151.1 C152.1 C153.1 C155.1 C158.2 C159.1 C161.1 C162.1 C163.2 C167.2 C168.1 C169.1 C171.1 C172.1 C173.1 C174.1 C175.1 C176.1 C177.1 C178.1 C179.1 C180.1 C181.1 C183.1 C185.2 C186.1 C187.1 C188.1 C189.1 C190.1 C191.1 C193.1 C194.2 C195.1 C197.1 C198.1 C199.1 C200.1 C201.1 CN1.3 CN2.7 CN2.8 CN3.1 CN3.19 CN3.2 CN3.20 CN3.30 CN3.34 CN3.37 CN4.16 CN4.5 CN5.1 CN5.20 CN6.A1 CN6.A12 CN6.B1 CN6.B12 CN6.SH1 CN6.SH2 CN6.SH3 CN6.SH4 CN8.6 CN8.7 CN9.3 CN10.15 CN10.17 CN10.19 CN10.3 CN10.5 CN10.9 CN12.7 CN13.11 CN13.12 CN13.13 CN13.14 CN13.6 CN13.9 CN14.1 CN14.10 CN14.13 CN14.16 CN14.19 CN14.4 CN14.7 CN14.S1 CN14.S2 CN15.3 CN16.15 CN16.16 CN17.4 CN17.5 CN17.6 CN18.A1 CN18.A12 CN18.B1 CN18.B12 CN18.SH1 CN18.SH2 CN18.SH3 CN18.SH4 H1.1 H2.1 H3.1 H4.1 H5.1 H6.1 H7.1 H8.1 JP1.2 LD3.3 LD4.3 LD5.2 Q1.2 Q2.2 Q5.2 Q6.2 Q7.2 R3.1 R10.1 R13.1 R14.1 R15.1 R16.1 R17.1 R18.1 R29.1 R32.2 R33.2 R34.2 R41.1 R82.1 R83.1 R86.1 R87.1 R90.1 R91.1 R107.2 R108.2 R109.2 R115.2 R118.1 R119.2 R123.2 R125.1 R128.2 R133.1 R134.1 R150.1 R151.1 R164.1 R165.1 R189.1 R190.1 R192.2 R194.1 R195.1 R197.2 R201.1 R208.2 R210.1 R214.2 R215.1 R218.1 R223.1 R224.1 R225.1 SB1.1 SB54.1 SW1.3 SW2.3 U1.4 U1.8 U1.9 U2.C2 U3.3 U3.8 U4.3 U4.8 U5.2 U5.5 U6.4 U7.4 U8.4 U9.2 U10.2 U12.2 U13.3 U14.2 U15.3 U15.4 U16.2 U17.D5 U17.D6 U17.D7 U17.D8 U17.D9 U17.F10 U17.F12 U17.F2 U17.F6 U17.F7 U17.F8 U17.F9 U17.G10 U17.G12 U17.G2 U17.G6 U17.G7 U17.G8 U17.G9 U17.H10 U17.H12 U17.H6 U17.H7 U17.H8 U17.H9 U17.J10 U17.J6 U17.J7 U17.J8 U17.J9 U17.K10 U17.K6 U17.K7 U17.K8 U17.K9 U17.L4 U17.M1 U17.M8 U17.M9 U17.N1 U18.2 U19.2 U20.8 U20.9 U21.1 U22.4 U22.8 U22.9 U23.2 U24.2 U25.B3 U25.C1 U25.E5 U26.C1 U26.E5 U27.A17 U27.F10 U27.F11 U27.F12 U27.F2 U27.F7 U27.G12 U27.G6 U27.H1 U27.H2 U27.H3 U27.H4 U27.H5 U27.H6 U27.K12 U27.M10 U27.M12 U27.M13 U27.M6 U27.M8 U27.N11 U27.N5 U27.N7 U27.N9 U27.T2 U27.U1 U27.U17 U28.2 U29.3 U29.4 U30.3 U30.4 U31.3 U31.4 U32.2 U33.2 U34.14 U34.22 U34.33 U34.5 U34.9 U35.2 U36.2 U37.2 U38.2 U39.2 U40.2 U41.2 U42.2 U42.3 U42.5 U43.2 U43.5 U44.41 U45.5 U45.EP U46.12 U46.21 U47.2 U48.2 U49.3 U49.4 U50.2 U51.3 U51.4 U52.2 U53.2 U54.1 X1.2 X1.4 X2.2 X2.4 X4.2 X4.4
3V3_STLK: C96.1 C97.1 C98.1 C99.1 C100.1 C101.1 C102.1 C104.1 C106.1 C107.1 C108.1 C109.1 C110.1 C111.1 C112.1 C113.1 C114.1 C124.2 CN9.1 LD3.4 LD4.4 R26.2 R93.2 R120.1 U17.C1 U17.C5 U17.C6 U17.C7 U17.C8 U17.C9 U17.F3 U17.G13 U17.G3 U17.H13 U17.J12 U17.J13 U17.K4 U17.N10 U17.N8 U17.N9 U17.P1 U17.R1 U19.1
VDDIO: B2.1 B2.2 B4.1 B4.2 C55.2 C58.2 C66.2 C67.2 C72.2 C73.2 C75.2 C76.2 C152.2 CN1.1 CN10.1 LNK3.1 R5.2 R36.1 R38.1 R78.2 R149.1 R153.1 SB4.1 SW1.2 SW2.2 TP13.1 U27.E8 U27.F8 U27.G13 U27.H12 U27.H13 U27.J12 U27.J13 U27.K13 U32.5
5V: C23.2 C27.2 C92.2 C173.2 C190.2 C199.2 C201.2 CN4.15 CN4.6 CN8.5 D2.1 JP2.2 JP2.4 JP2.6 LNK1.2 LNK2.2 R19.1 R20.1 R23.1 R24.1 R43.1 R113.2 R129.1 R130.1 SB48.1 TP4.1 U5.3 U5.4 U43.3 U43.4 U47.5 U54.3
VDDA1V8: C46.2 C47.2 C50.2 C54.2 C71.2 C74.2 C77.2 C78.2 C79.2 C80.2 R27.1 R143.2 R173.2 R179.2 SB35.1 SB36.1 SB37.1 TP17.1 U6.8 U7.8 U8.8 U27.C5 U27.L13 U27.L14 U27.M14 U27.M15 U27.M5 U27.N13 U27.N6 U27.P13 U27.R5 U32.1
VDDCORE: C44.2 C51.2 C57.2 C60.2 C61.2 C63.2 C65.2 C68.2 C69.2 C70.2 R22.1 R30.2 TP10.1 U27.L12 U27.L6 U27.M11 U27.M7 U27.M9 U27.N10 U27.N12 U27.N8 U27.P11 U27.R4
VDD3V3: C81.1 C189.2 CN3.50 CN8.2 CN8.4 LD1.1 LD2.1 LD8.1 LD10.1 R131.2 R136.2 R145.1 R159.1 R212.1 SB3.1 SB19.1 SB38.1 SB45.1 TP16.1 U45.7 U45.8 U46.2
3V3_DVDD_GMII: C9.2 C10.2 C11.2 C13.2 C17.2 C18.2 C19.1 L2.1 R174.2 R175.2 R176.2 R177.2 R178.2 R186.2 R191.1 R200.2 R204.2 R219.2 U44.28 U44.29
NRST: B1.1 B1.2 C198.2 CN1.10 CN8.3 CN10.10 D4.2 D6.2 D7.2 R117.2 U9.1 U23.5 U27.G3
Net-(C29-Pad2): C29.2 C35.2 C41.2 C45.2 C48.2 C52.2 L4.2 U27.K1 U27.K2 U27.K3 U27.K4 U27.K5 U27.K6
VDD_OCTOSPI_M: C84.2 C87.2 C88.2 C89.2 C90.2 C91.2 R139.2 R140.2 R142.2 SB36.2 U25.B4 U25.D1 U25.E4
VBUS_STLK: C120.1 C125.2 C132.2 CN6.A4 CN6.A9 CN6.B4 CN6.B9 D1.1 U16.1 U18.5 U20.3 U20.4
VBUS1: C197.2 CN18.A4 CN18.A9 CN18.B4 CN18.B9 R7.2 R152.2 R193.1 R213.1 U46.9 U50.1
VDD_MIC: C117.2 C118.2 C119.2 CN5.12 CN5.19 CN5.2 R105.2 R106.1 SB19.2 U13.5 U14.5
VDDIO_SD: C59.2 C64.2 R73.2 R74.2 R75.2 R76.2 R77.2 U27.E9 U27.F9 U32.4
I_SENS_EXT_VDDCORE_P: C42.2 C49.2 C53.2 C56.2 C62.2 CN2.3 L5.2 R31.1 R35.1
I_SENS_INT_N: C15.2 C16.2 C23.1 C24.2 CN2.6 R19.2 R20.2 U1.1 U1.6
Net-(C21-Pad2): C21.2 C22.2 C25.2 C26.2 L3.2 R8.2 R11.2 R21.1 TP14.1
VDD_AUDIO: C147.2 C148.2 C149.2 C150.2 SB37.2 SB40.1 U34.23 U34.6 U34.7
1V05_AVDD_GMII: C2.2 C3.2 C4.2 C7.2 R6.1 U44.3 U44.38 U44.8
I_SENS_VDDCORE_P: C170.1 C176.2 C177.2 C178.2 C179.2 L7.1 R167.2 R168.2
Net-(L7-Pad2): L7.2 R220.2 U27.J1 U27.J2 U27.J3 U27.J4 U27.J5 U27.J6
Net-(U46-ISENSE): C184.1 Q3.7 Q3.8 Q4.7 Q4.8 R7.1 R209.2 U46.10
VDD_HEXASPI_M: C141.2 C142.2 C143.2 C144.2 R138.2 SB35.2 U26.D1 U26.E4
3V3_AVDD_GMII: C1.2 C5.2 C6.2 C8.2 L1.1 U44.11 U44.40
5V_STLK: C123.2 C129.2 JP2.1 R124.1 U18.1 U20.5 U20.6
I_SENS_EXT_N: C27.1 C31.2 C32.2 CN2.2 R23.2 R24.2 U2.A2
I_SENS_EXT_VDDCORE_N: C30.2 C53.1 CN2.4 R28.2 R30.1 R31.2 R35.2
I_SENS_VDDA1V8_P: C182.2 C183.2 CN2.13 R187.1 R188.1 U45.1 U45.2
I_SENS_VDDIO_P: C93.2 C94.2 C95.2 CN2.11 R79.1 R80.1 U5.1
PWR_ON: R12.1 R25.1 R144.1 R199.1 TP11.1 U22.2 U27.E2
VDD_SD: C85.1 C86.2 C146.2 CN13.4 R146.2 U28.6 U32.3
I_SENS_VDDA1V8_N: C182.1 CN2.14 R179.1 R187.2 R188.2 U45.4
Net-(C135-Pad2): C135.2 C136.2 L6.2 R132.2 R135.2 R136.1
Net-(U22-VINA): C137.2 C138.2 C139.2 R130.2 U22.1 U22.6
T_PWR_INT: C33.1 R120.2 R123.1 R124.2 U17.J2 U18.3
VDD_CAM: C161.2 CN14.22 R221.1 R222.1 SB45.2 SB53.2
VREFP: C38.2 C39.2 C140.1 R27.2 R137.2 U27.U2
1V05_GMII: C180.2 C181.2 LE1.2 R6.2 R9.2
5V_VIN: C134.2 JP2.5 R111.2 U21.2 U21.4
ARD_A5R: CN7.6 R84.1 SB9.1 SB33.2 SB34.2
I_SENS_VDDCORE_N: C170.2 R22.2 R167.1 R168.1 U27.G2
I_SENS_VDDIO_N: C93.1 CN2.12 R78.1 R79.2 R80.2
MIC: C154.2 C156.2 CN15.2 R156.1 U42.4
Net-(C82-Pad1): C82.1 C83.2 CN3.47 CN3.49 R41.2
Net-(D1-K): C126.2 D1.2 D2.2 U19.3 U19.5
Net-(Q3-G1): C184.2 Q3.2 Q3.4 R228.1 U46.7
Net-(Q4-G1): C196.2 Q4.2 Q4.4 R229.1 U46.5
Net-(U2-FB): C30.1 R28.1 R29.2 R157.2 U2.C1
T_PWR_EN: R118.2 R125.2 U17.R5 U18.4 U20.2
VBUS2: C194.1 C195.2 CN17.1 U47.1 U48.1
VDDA1V8_AON: C36.2 R148.1 R163.2 TP15.1 U27.A1
1V05_DVDD_GMII: C12.2 C14.2 R9.1 U44.21
ARD_A4R: CN7.5 R81.1 SB31.2 SB32.2
JTDI: CN1.8 CN10.8 R122.2 U24.4
Net-(C82-Pad2): C82.2 C83.1 CN3.45 R43.2
Net-(D5-A): D5.1 D6.1 R144.2 U28.3
Net-(Q3-S1): Q3.1 Q3.3 R228.2 U46.8
Net-(Q4-S1): Q4.1 Q4.3 R229.2 U46.6
Net-(U1-FB): C20.2 R10.2 R11.1 U1.3
Net-(U20-ILM): R126.1 R127.1 R128.1 U20.7
Net-(U34-HPOUTL): C165.1 CN15.6 U34.13 U42.1
Net-(U34-HPOUTR): C164.1 CN15.4 U34.15 U42.6
Net-(U34-MICVDD): C162.2 SB39.2 SB40.2 U34.19
Net-(U43-OUT): C171.2 C172.2 R163.1 U43.1
Net-(U54-TAB): C200.2 SB53.1 U54.2 U54.4
SD_CMD: CN13.3 R75.1 U4.2 U4.9
SD_D0: CN13.7 R74.1 U3.2 U3.9
SD_D1: CN13.8 R73.1 U3.1 U3.10
SD_D2: CN13.1 R77.1 U4.5 U4.6
SD_D3: CN13.2 R76.1 U4.4 U4.7
SWCLK: CN1.4 CN10.4 R95.2 U24.1
SWDIO: CN1.2 CN10.2 R94.2 U24.5
SWO: CN1.6 CN10.6 R116.2 U24.3
TAMP: B4.3 B4.4 R224.2 U12.1
T_SWCLK: R95.1 U17.A10 U17.M11 U17.M6
UCPD_SNK: Q3.5 Q3.6 R209.1 SB46.2
UCPD_SOURCE1: C196.1 Q4.5 Q4.6 SB48.2
USER1: B2.3 B2.4 R225.2 U10.1
VDDA1V8PMU: C169.2 L8.2 R173.1 U27.G1
VDD_ETH: L1.2 L2.2 R207.1 SB3.2
VL_AUDIO: C159.2 SB38.2 SB39.1 U34.4
ARD_A0R: CN7.1 R89.1 SB23.2
ARD_A1R: CN7.2 R92.1 SB22.2
ARD_A2R: CN7.3 R85.1 SB21.2
ARD_A3R: CN7.4 R88.1 SB20.2
ARD_A4: TP5.1 U6.1 U6.2
Data_Con: CN5.6 TP19.1 U14.3
Data_Mems: TP20.1 U13.1 U14.1
EN_MODULE: CN14.18 R222.2 U39.1
ETH_RXD0: R15.2 R174.1 R182.1
ETH_RXD1: R16.2 R178.1 R183.1
ETH_RXD3: R18.2 R175.1 R185.1
ETH_RX_CLK: R13.2 R176.1 R180.1
ETH_RX_DV: R14.2 R177.1 R181.1
JNTRST: SB2.2 SB43.1 U23.4
MIC_DET: CN5.10 R105.1 U14.6
NRST_CAM: CN14.17 R221.2 U38.1
Net-(C122-Pad2): C122.2 R110.2 TP2.1
Net-(C153-Pad2): C153.2 R154.1 X2.3
Net-(C155-Pad2): C155.2 R155.1 X2.1
Net-(C188-Pad2): C188.2 R198.1 X4.1
Net-(C191-Pad2): C191.2 R205.1 X4.3
Net-(CN1-Pad9): CN1.9 R5.1 SB2.1
Net-(CN10-Pad11): CN10.11 CN10.13 SB54.2
Net-(CN16-CT1): C193.2 CN16.5 CN16.6
Net-(CN16-GC): CN16.12 R191.2 U44.32
Net-(CN16-YA): CN16.13 R195.2 U44.33
Net-(CN18-CC1): C186.2 CN18.A5 U46.15
Net-(CN18-CC2): C187.2 CN18.B5 U46.13
Net-(CN6-CC1): CN6.A5 R96.2 R108.1
Net-(CN6-CC2): CN6.B5 R97.2 R107.1
Net-(D4-A): D4.1 R140.1 U25.A4
Net-(D7-A): D7.1 R207.2 U44.12
Net-(Q1-B): Q1.1 R3.2 R4.1
Net-(Q2-G): Q2.1 R134.2 SB25.2
Net-(Q5-B): Q5.1 R213.2 R214.1
Net-(Q6-B): Q6.1 R215.2 R216.1
Net-(R81-Pad2): R81.2 R82.2 U6.3
Net-(R83-Pad2): R83.2 R84.2 U6.5
Net-(R85-Pad2): R85.2 R86.2 U7.3
Net-(R87-Pad2): R87.2 R88.2 U7.5
Net-(R89-Pad2): R89.2 R90.2 U8.3
Net-(R91-Pad2): R91.2 R92.2 U8.5
Net-(SB49-Pad1): SB49.1 U8.1 U8.2
Net-(SB51-Pad1): SB51.1 U7.1 U7.2
Net-(U1-EN): R12.2 TP12.1 U1.2
Net-(U22-FB): R133.2 R135.1 U22.3
Net-(U25-~{ECS}): R139.1 TP6.1 U25.A5
Net-(U27C-VDD33USB): C43.1 R159.2 U27.A4
Net-(U28-VIN): C145.2 R145.2 U28.1
Net-(U34-MICBIAS): C158.1 R156.2 U34.20
Net-(U44-LED2_CFG_LDO1): LD7.1 R194.2 U44.34
Net-(U44-XTAL_OUT_EXT_CLK): R203.1 R205.2 U44.37
Net-(U46-VSENSE): R192.1 R193.2 U46.11
Net-(X3-X1): C174.2 R170.1 X3.1
Net-(X3-X2): C175.2 R171.1 X3.2
PA15: SB6.2 SB7.2 U27.P12
PB4: SB8.2 SB43.2 U27.T12
PWR_LP: R158.1 R223.2 U27.L2
SD_CK: CN13.5 U4.1 U4.10
STLK_LED: R100.2 R101.1 U17.D15
STLK_NRST: C130.2 JP1.1 U17.J1
STLK_OSC_IN: C127.1 U17.G1 X1.1
STLK_OSC_OUT: C128.2 U17.H1 X1.3
STLK_UCPD_CC1_C: C103.1 R96.1 U17.M5
STLK_UCPD_CC2_C: C105.1 R97.1 U17.N5
STLK_USB_CN_N: CN6.A7 CN6.B7 U15.2
STLK_USB_CN_P: CN6.A6 CN6.B6 U15.1
STMOD_ADC: CN4.13 SB9.2 SB16.1
STMOD_MISO5{slash}RX: CN4.3 SB14.2 SB15.2
STMOD_MOSI5{slash}TX: CN4.2 SB12.2 SB13.2
STMOD_NSS{slash}CTS: CN4.1 SB10.2 SB11.2
STMOD_SCK{slash}RTS: CN4.4 SB17.2 SB18.2
TRACE_CLK: CN10.12 SB29.1 U53.1
TRACE_D0: CN10.14 SB30.1 U52.5
TRACE_D1: CN10.16 SB26.1 U52.4
TRACE_D2: CN10.18 SB28.1 U52.3
TRACE_D3: CN10.20 SB27.1 U52.1
T_PWR_EXT: R113.1 R115.1 U17.R4
T_PWR_LED: R98.2 R99.2 U17.H15
T_SWDIO: R94.1 U17.L2 U17.N12
T_SWO: R116.1 U17.A6 U17.D12
T_VCC_AIN: R119.1 R121.1 U17.N3
UCPD1_VSENSE: C151.2 R151.2 R152.1
USB1_CN_HS_N: CN18.A7 CN18.B7 U51.2
USB1_CN_HS_P: CN18.A6 CN18.B6 U51.1
VBAT: C28.2 SB4.2 U27.E1
VDD1V8: L4.1 L8.1 R21.2
VDDA18AON: C40.2 R148.2 U27.F6
VIN: C131.2 CN8.8 U21.3
5V_USB_SNK: JP2.3 SB46.1
ARD_A1: U8.6 U8.7
ARD_A3: U7.6 U7.7
ARD_A5: U6.6 U6.7
ARD_D13: CN12.6 SB25.1
ARD_D14: CN12.9 SB32.1
ARD_D15: CN12.10 SB34.1
BOOT0: R103.2 U27.G4
CK: CN5.4 R104.2
CSI_CLK_N_CON: CN14.8 U31.2
CSI_CLK_P_CON: CN14.9 U31.1
CSI_D0_N_CON: CN14.2 U29.2
CSI_D0_P_CON: CN14.3 U29.1
CSI_D1_N_CON: CN14.5 U30.2
CSI_D1_P_CON: CN14.6 U30.1
D1: TP18.1 U14.4
ETH_MDC: R204.1 U44.13
ETH_MDINT: R186.1 U44.31
ETH_MDIO: R200.1 U44.14
ETH_RXD2: R17.2 R184.1
HEXASPI_NCS: R138.1 U26.A3
I2C_SCL: CN14.20 U40.1
I2C_SDA: CN14.21 U41.1
IMU_INT1: CN14.14 U36.1
IMU_INT2: CN14.15 U37.1
I_SENS_EXT_P: CN2.1 LNK2.1
I_SENS_INT_P: CN2.5 LNK1.1
LCD_B6: CN3.33 TP1.1
Net-(C164-Pad2): C164.2 R164.2
Net-(C165-Pad2): C165.2 R165.2
Net-(C37-Pad2): C37.2 R220.1
Net-(CN1-Pad5): CN1.5 SB1.2
Net-(CN12-Pad8): CN12.8 R137.1
Net-(CN16-GA): CN16.11 R219.1
Net-(CN16-YC): CN16.14 R218.2
Net-(CN3-Pad24): CN3.24 SB5.1
Net-(CN3-Pad38): CN3.38 R69.1
Net-(CN3-Pad40): CN3.40 R68.1
Net-(CN8-Pad1): CN8.1 R111.1
Net-(LD1-Pad2): LD1.2 R1.2
Net-(LD10-Pad2): LD10.2 R217.2
Net-(LD2-Pad2): LD2.2 R2.2
Net-(LD3-Green_cathode): LD3.2 R99.1
Net-(LD3-Red_anode): LD3.1 R98.1
Net-(LD4-Green_cathode): LD4.2 R101.2
Net-(LD4-Red_anode): LD4.1 R100.1
Net-(LD5-Pad1): LD5.1 R129.2
Net-(LD6-Pad1): LD6.1 R131.1
Net-(LD7-Pad2): LD7.2 R190.2
Net-(LD8-Pad2): LD8.2 R211.2
Net-(LD9-Pad1): LD9.1 R212.2
Net-(Q1-C): Q1.3 R1.1
Net-(Q2-D): LD6.2 Q2.3
Net-(Q5-C): LD9.2 Q5.3
Net-(Q6-C): Q6.3 R217.1
Net-(Q7-D): Q7.3 R157.1
Net-(Q7-G): Q7.1 R158.2
Net-(R102-Pad1): R102.1 SW1.1
Net-(R103-Pad1): R103.1 SW2.1
Net-(SB42-Pad1): SB42.1 SB44.1
Net-(TP23-Pad1): TP23.1 U27.C4
