# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
C113  Capacitor 100nF           C0402               Capacitor
C114  Capacitor 100nF           C0402               Capacitor
C115  Capacitor 2.2uF           C0402               Capacitor
C116  Capacitor 2.2uF           C0402               Capacitor
C117  Capacitor 100nF           C0402               Capacitor
C118  Capacitor 1uF             C0402               Capacitor
C119  Capacitor 100nF           C0402               Capacitor
C120  Capacitor 100pF           C0402               Capacitor
C121  Capacitor 2.2uF           C0402               Capacitor
C122  Capacitor 20pF            C0402               Capacitor
C123  Capacitor 10uF            C0603               Capacitor
C124  Capacitor 10uF            C0603               Capacitor
C125  Capacitor 100nF           C0402               Capacitor
C126  Capacitor 2.2uF           C0805               Capacitor
C127  Capacitor 5.6pF           C0402               Capacitor
C128  Capacitor 5.6pF           C0402               Capacitor
C129  Capacitor 10uF            C0603               Capacitor
C130  Capacitor 100nF           C0402               Capacitor
C131  Capacitor 10uF            C0805               Capacitor
C132  Capacitor 100nF           C0402               Capacitor
C133  Capacitor 10nF            C0402               Capacitor
C134  Capacitor 10uF            C0805               Capacitor
C135  Capacitor 22uF            C0603               Capacitor
C136  Capacitor 22uF            C0603               Capacitor
C137  Capacitor 10uF            C0603               Capacitor
C138  Capacitor 220uF           C1206_H1P6          Capacitor
C139  Capacitor 1uF             C0402               Capacitor
C140  Capacitor 100nF           C0402               Capacitor
C141  Capacitor 4.7uF           C0603               Capacitor
C142  Capacitor 100nF           C0402               Capacitor
C143  Capacitor 4.7uF           C0603               Capacitor
C144  Capacitor 100nF           C0402               Capacitor
C145  Capacitor 1uF             C0402               Capacitor
C146  Capacitor 10uF            C0603               Capacitor
C147  Capacitor 4.7uF           C0603               Capacitor
C148  Capacitor 2.2uF           C0603               Capacitor
C149  Capacitor 100nF           C0402               Capacitor
C150  Capacitor 4.7uF           C0603               Capacitor
C151  Capacitor 10pF            C0402               Capacitor
C152  Capacitor 100nF           C0402               Capacitor
C153  Capacitor 8.2pF           C0402               Capacitor
C154  Capacitor 1uF             C0603               Capacitor
C155  Capacitor 8.2pF           C0402               Capacitor
C156  Capacitor 1uF             C0603               Capacitor
C158  Capacitor 4.7uF           C0603               Capacitor
C159  Capacitor 100nF           C0402               Capacitor
C160  Capacitor 2.2uF           C0603               Capacitor
C161  Capacitor 1uF             C0402               Capacitor
C162  Capacitor 100nF           C0402               Capacitor
C163  Capacitor 2.2uF           C0603               Capacitor
C164  Capacitor 100nF           C0402               Capacitor
C165  Capacitor 100nF           C0402               Capacitor
C167  Capacitor 2.2uF           C0603               Capacitor
C168  Capacitor 4.7uF           C0603               Capacitor
C169  Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C170  Capacitor 22uF            C0603               Capacitor
C171  Capacitor 1uF             C0402               Capacitor
C172  Capacitor 1uF             C0402               Capacitor
C173  Capacitor 1uF             C0402               Capacitor
C174  Capacitor 3.3pF           C0402               Capacitor
C175  Capacitor 3.3pF           C0402               Capacitor
C176  Capacitor 22uF            C0603               Capacitor
C177  Capacitor 22uF            C0603               Capacitor
C178  Capacitor 22uF            C0603               Capacitor
C179  Capacitor 22uF            C0603               Capacitor
C180  Capacitor 100nF           C0402               Capacitor
C181  Capacitor 22uF            C0603               Capacitor
C182  Capacitor 22uF            C0603               Capacitor
C183  Capacitor 10uF            C0603               Capacitor
C184  Capacitor 10nF            C0402               Capacitor
C185  Capacitor 100nF           C0603               Capacitor
C186  Capacitor 330pF           C0402               Capacitor
C187  Capacitor 330pF           C0402               Capacitor
C188  Capacitor 6.8pF           C0402               Capacitor
C189  Capacitor 10uF            C0603               Capacitor
C190  Capacitor 100nF           C0402               Capacitor
C191  Capacitor 6.8pF           C0402               Capacitor
C193  Capacitor 100nF           C0402               Capacitor
C194  Capacitor 100nF           C0402               Capacitor
C195  Capacitor 220uF           C1206_H1P6          Capacitor
C196  Capacitor 1nF             C0805_H0P6          Capacitor
C197  Capacitor 2.2uF           C0805               Capacitor
C198  Capacitor 10nF            C0402               Capacitor
C199  Capacitor 10uF            C0805               Capacitor
C200  Capacitor 10uF            C0805               Capacitor
C201  Capacitor 220uF           C1206_H1P6          Capacitor
CN1   Tag-10-C Header 5x2       CON_TAG-C_TC2050-I  Header_Plug-of-nails
CN2   Jumper_Header 7x2         CON_SAMTEC_TSW-107  Header
CN3   Socket 25x2               CON_SAMTEC_FLE-125  Socket
CN4   Socket 10X2 STMod+ Socke  CON_SAMTEC_SQT-110  Socket
CN5   Socket 10x2               CON_FCI_20021311-X  Socket
CN6   USB_TYPE_C_Receptacle US  CON_USB-TYPEC_AMPH  USB_TypeC
CN7   Socket 6x1                CON_SAMTEC_SSW-106  Socket
CN8   Socket 8x1                CON_SAMTEC_SSW-108  Socket
CN9   Header 4x1                CON_SAMTEC_TSW-104  Header
CN10  Header 10x2               CON_SAMTEC_FTSH-11  Header
CN11  Socket 8x1                CON_SAMTEC_SSW-108  Socket
CN12  Socket 10x1               CON_SAMTEC_SSW-110  Socket
CN13  microSD-PJS008-2003 uSD-  CON_MICROSD_YAMAIC  Connector_uSD Card
CN14  FFC/FPPC_2-1734592-2      CON_TE-CONNECTIVIT  Socket_FFC/FPC
CN15  Jack_PJ3028B-3_4P Jack_   CON_PHONE-JACK-3P5  Jack_ Socket-Stereo
CN16  ​New part for use of led  CON_RJ45_YD_48F-01  Connector_RJ45
CN17  USB_TypeA_Receptacle_676  CON_USB-TYPEA_MOLE  USB_TypeA
CN18  USB_TYPE_C_Receptacle US  CON_USB-TYPEC_AMPH  USB_TypeC
D1    SCHOTTKY_1A_2K BAT20JFIL  DIO_SOD323_1A_2K    Diode
D2    SCHOTTKY_1A_2K BAT20JFIL  DIO_SOD323_1A_2K    Diode
D4    BAT60JFILM                DIO_SOD323          Diode
D5    BAT60JFILM                DIO_SOD323          Diode
D6    BAT60JFILM                DIO_SOD323          Diode
D7    BAT60JFILM                DIO_SOD323          Diode
H1    POSITION HOLE N/A         PTH_350_700         POSITION HOLE
H2    POSITION HOLE N/A         PTH_350_700         POSITION HOLE
H3    POSITION HOLE N/A         PTH_450_900         POSITION HOLE
H4    POSITION HOLE N/A         PTH_450_900         POSITION HOLE
H5    POSITION HOLE N/A         PTH_450_900         POSITION HOLE
H6    POSITION HOLE N/A         PTH_450_900         POSITION HOLE
H7    POSITION HOLE N/A         PTH_350_700         POSITION HOLE
H8    POSITION HOLE N/A         PTH_350_700         POSITION HOLE
HW1   STICKER_PRODUCT N/A       STICKER_PRODUCT_25  Sticker product
HW2   STICKER_BOARD N/A         STICKER_BOARD_25X9  Sticker Board
